Product_Input,Cheapest_Original_Material,Original_Price_USD,EISc_Original_Score,Sustainable_Alternative,Alternative_Price_USD,EISc_Alternative_Score
Credit Card,PVC Foam,9.31,8,Recycled Plastic Foam,9.24,3
Automotive Component,Glass Wool,2.23,8,Cellulose Insulation,2.17,3
Insulation Panel,Polyurethane Varnish,7.97,8,Natural Oil Varnish,8.01,3
General Appliance Part,HDPE,7.81,8,Plant-based Alternatives,7.99,3
Automotive Component,Compostable PLA,5.39,7,Plant-based PLA,5.4,2
Squeeze Bottle,Polyethylene Glycol (PEG),0.2,8, Bio-based PEG,0.2,3
Water Bottle,Plastic,6.44,10,Paper or Metal,6.42,2
Packaging Box,Conventional Ink Toner,9.65,8,Soy-based Toner,9.43,3
Automotive Component,Acrylic Glass (Plexiglass),7.62,8,Polycarbonate or Glass,7.59,4
Automotive Component,Graphene,5.66,8,Recycled Graphene,5.74,3
Phone Case,Plastic Packaging,7.47,10,Paper-based Packaging,7.56,2
Wallet,Leather,2.86,9, Plant-based Leather,2.85,3
Packaging Box,Epichlorohydrin,9.21,9,Bio-based Epoxy,9.4,3
Electronic Housing,Recycled Paper Straws,3.15,8,Compostable Paper Straws,3.16,3
Electronic Housing,Cork Packaging,7.42,8, Bamboo Packaging,7.23,3
Automotive Component,Aluminum Foil,8.27,8,Reusable Beeswax Wrap,8.03,2
General Appliance Part,Rock Wool,7.34,8,Hemp Wool Insulation,7.25,3
Squeeze Bottle,Chlorinated Polyethylene,0.54,9,Natural Elastomers,0.54,3
Electronic Housing,FSC-Certified Wood,0.14,8,Sustainable Wood,0.14,3
Automotive Component,Recycled Glass Bottles,6.47,8, Glass or Biodegradable Bottles,6.51,3
Electronic Housing,Polypropylene,7.93,8, Glass,8.11,3
Electronic Housing,Recycled Paper Bags,2.22,7,Compostable Paper Bags,2.27,3
Credit Card,PVC Foam,8.26,8,Recycled Plastic Foam,8.49,3
Automotive Component,Volatile Organic Compounds,9.09,9,Water-based Solutions,9.26,3
General Appliance Part,Neoprene,3.62,8,Natural Rubber,3.54,3
Automotive Component,Treated Wood,7.76,8,Recycled Wood,7.58,3
Packaging Box,Biodegradable Paint,2.69,7, Natural Paints,2.72,2
Water Bottle,Thermoplastic Elastomers,2.33,8,Biodegradable Elastomers,2.37,3
Electronic Housing,Biodegradable Paint,5.43,7,Natural Paints,5.42,2
Lip Balm,Synthetic Wax,6.57,8,Beeswax or Soy Wax,6.68,3
Handbag,Cactus Leather,3.0,7,Desert Plant Leather,2.96,2
General Appliance Part,Polyethersulfone,0.55,9,Bio-based Sulfones,0.54,4
Automotive Component,Expanded Polypropylene,9.59,8,Recycled Polypropylene,9.54,3
Upholstery,Ramie Fiber,8.41,6,Nettle Plant Fiber,8.44,2
Packaging Box,Recycled Wool,4.55,8,Recycled Wool Insulation,4.58,3
Electronic Housing,Treated Wood,8.07,8, Recycled Wood,7.91,3
Stockings,Recycled Nylon,7.18,8,Recycled Nylon or Hemp Fiber,7.13,3
Packaging Box,Vinyl Upholstery,5.21,9,Cork Leather or Fabric,5.06,3
Electronic Housing,Rice Husk,1.86,8,Compostable Rice Husk,1.87,3
Toy,Plastic Packaging,5.01,10,Paper-based Packaging,5.08,2
Toothbrush Bristles,Recycled Nylon,9.0,8,Recycled Nylon or Hemp Fiber,9.25,3
Clothing Apparel,Flax Fiber,8.93,7,Bamboo Fiber,8.9,2
Packaging Box,Hemp Paper,5.52,8, Recycled Paper,5.65,3
Clothing Apparel,Recycled Fabric,1.88,8, Organic Fabric,1.83,3
Luggage,Bio-based Polycarbonate,2.2,8,Recycled Polycarbonate,2.25,3
Electronic Housing,Ozone-depleting Substances,6.66,10,Natural Refrigerants,6.84,3
Rubber Band,Recycled Tyre Rubber,9.55,9,Recycled Rubber,9.61,3
Backpack,Nylon Rope,2.66,7,Jute or Hemp Rope,2.62,2
General Appliance Part,Recycled Steel,9.5,8,Recycled Steel or Aluminum,9.67,3
General Appliance Part,Non-Woven Polypropylene,2.84,8,Organic Cotton Fabric,2.82,2
Electronic Housing,Zein (Corn Protein),0.8,7,Plant-based Protein Films,0.81,2
Automotive Component,Glass Containers,2.56,8, Recycled Glass,2.54,3
Electronic Housing,Coal Tar,7.09,9,Bio-based Tar,7.16,3
Packaging Box,Polyphenylene Oxide,8.56,8,Bio-based Polyphenylene Oxide,8.45,3
Toy,Plastic Beads,5.91,8,Glass or Wooden Beads,5.81,3
Automotive Component,Coconut Shell,3.58,8,Compostable Shell,3.66,3
Vinyl Record,PVC,4.98,8,Recycled Wood or Bamboo,5.01,3
Automotive Component,Polyvinyl Chloride Flooring,5.52,9,Cork or Bamboo Flooring,5.62,3
General Appliance Part,Foam Packing Peanuts,4.54,9,Cornstarch Packing Peanuts,4.64,2
Electronic Housing,Polyphenylene Oxide,1.3,8,Bio-based Polyphenylene Oxide,1.32,3
Electronic Housing,Sunflower Oil,7.25,8,Plant-based Oil,7.22,3
Electronic Housing,Eggshell Composites,5.45,6,Calcium Carbonate Composites,5.4,2
Clothing Apparel,Fiberglass Mat,0.8,8,Natural Fiber Mat,0.8,3
Grocery Bag,Polyethylene Glycol,1.67,8,Bio-based PEG,1.69,3
Automotive Component,Conventional Soil Pots,1.14,7,Biodegradable Peat Pots,1.11,2
Insulation Panel,Polyurethane Varnish,9.77,8,Natural Oil Varnish,9.96,3
Packaging Box,Cadmium Batteries,7.19,10,Lithium-ion Batteries,7.11,4
Food Container,PETG,6.39,7,PLA-based materials,6.54,3
Sportswear,Polyester Rope,0.78,7,Hemp or Jute Rope,0.79,2
Packaging Box,Lead Pipes,3.6,10,PEX or Copper Pipes,3.7,3
Automotive Component,Phenol,6.64,9,Natural Phenolics,6.46,3
Electronic Housing,Methyl Chloroform,5.9,9,Citrus-based Solvents,5.8,2
Electronic Housing,FSC-Certified Wood,6.11,8,Sustainable Wood,6.17,3
Automotive Component,Acetal,0.4,8,Recycled Acetal,0.4,3
Automotive Component,PLA,7.98,5,Biodegradable Paper,7.79,2
Grocery Bag,Chlorinated Polyethylene,7.48,9,Natural Elastomers,7.41,3
Automotive Component,Perfluorocarbons,9.14,10,Silicon-based Alternatives,9.38,4
Shoes,Mushroom Leather,8.17,8,Mycelium Leather,8.28,3
Grocery Bag,Recycled Polyethylene Terephthalate (rPET),0.68,8, Bio-based PET,0.7,3
Phone Case,Plastic,8.48,10,Paper or Metal,8.44,2
Industrial Coating,Formaldehyde Resins,8.83,8,Natural Adhesives,9.09,2
Packaging Box,Caprolactam,2.6,8,Bio-based Amines,2.61,3
General Appliance Part,Palm Oil,4.03,8, Certified Sustainable Palm Oil,3.92,3
Automotive Component,Teak Wood,2.71,9,Bamboo Composites,2.67,3
Automotive Component,Rice Husk,6.84,8,Compostable Rice Husk,7.01,3
General Appliance Part,Recycled Steel,3.44,8,Recycled Steel,3.37,2
Food Container,PET,6.75,8,PLA Bioplastic,6.95,3
Automotive Component,Rice Husk,0.43,8,Compostable Rice Husk,0.44,3
Electronic Housing,Recycled Steel,7.63,8, Recycled Steel or Aluminum,7.54,3
Automotive Component,Hemp Paper,1.85,8,Recycled Paper,1.83,3
General Appliance Part,Creosote-treated Wood,4.11,9,Heat-treated Wood,4.19,3
Industrial Coating,Formaldehyde Resins,1.32,8,Natural Adhesives,1.35,2
General Appliance Part,Algae Oil,2.16,8, Plant-based Oil,2.19,3
Electronic Housing,Treated Wood,8.99,8, Recycled Wood,9.0,3
Grocery Bag,Chlorosulfonated Polyethylene,0.83,9,Bio-based Elastomers,0.85,3
General Appliance Part,Polyvinyl Butyral,0.1,8,Biodegradable PVB,0.1,3
Tire,Silicone Rubber,9.13,6, Natural Latex or Biodegradable Silicone,9.37,3
General Appliance Part,Papyrus,8.22,7,Bamboo Paper,8.16,2
General Appliance Part,Bagasse Composites,0.92,5,Sugarcane Waste Materials,0.94,2
Water Bottle,Casein Plastics,1.09,7,Plant Protein Plastics,1.12,2
Bag,Natural Fiberboard,1.63,8, Recycled Wood Fiberboard,1.64,3
General Appliance Part,Polybenzoxazine,2.34,8, Bio-based Polybenzoxazine,2.38,3
Packaging Box,Compostable Utensils,0.18,8, Bamboo or Palm Leaf Utensils,0.18,3
General Appliance Part,Corn Starch,2.72,8,Biodegradable Cornstarch,2.77,3
Clothing Apparel,Kapok Fiber,6.3,5,Tree Fiber Insulation,6.19,2
Electronic Housing,Polybenzoxazine,2.0,8, Bio-based Polybenzoxazine,1.98,3
Electronic Housing,Polyphenylene Sulfide,7.22,9,Bio-based Sulfides,7.06,4
Automotive Component,Compostable Utensils,3.18,8, Bamboo or Palm Leaf Utensils,3.21,3
Insulation Panel,Polyurethane Coating,7.58,8, Plant-based Coating,7.61,3
Sofa Cushion,Polyurethane Varnish,4.49,8,Natural Oil Varnish,4.37,3
Automotive Component,Chitosan,3.91,8,Bio-based Chitosan,3.85,3
Automotive Component,Hexavalent Chromium,1.69,10,Trivalent Chromium,1.65,4
Automotive Component,Creosote-treated Wood,3.07,9,Heat-treated Wood,3.16,3
Shampoo Bottle,Recycled Polyethylene Terephthalate (rPET),6.83,8, Bio-based PET,6.91,3
Electronic Housing,Chlorine,2.48,10,Hydrogen Peroxide,2.41,3
Automotive Component,Lindane,3.42,10,Natural Insecticides,3.42,2
Packaging Box,Soy-based Ink,5.83,7,Water-based Ink,5.75,2
General Appliance Part,Mineral Wool,3.78,8,Recycled Cotton Insulation,3.76,3
Packaging Box,Seaweed,7.39,8,Bio-based Seaweed Packaging,7.29,3
Pen,Coconut Oil-based Bioplastic,2.06,8,Compostable Plastic,2.07,3
Packaging Box,Lindane,4.89,10,Natural Insecticides,4.9,2
Electronic Housing,Bamboo Paper,7.61,8, Recycled Paper,7.5,3
Automotive Component,Palm Leaves,1.56,8,Bamboo Leaves,1.6,3
General Appliance Part,Polypropylene,7.84,8, Glass,7.93,3
Bag,Coconut Fiber,1.17,8,Bamboo Fiber,1.19,3
Sponge,Cellulose Acetate,8.67,7,Natural Cellulose,8.46,2
Squeeze Bottle,Chlorosulfonated Polyethylene,9.08,9,Bio-based Elastomers,9.2,3
General Appliance Part,Isocyanates,9.86,10,Natural Polyols or Bio-based Polyurethanes,9.74,4
Packaging Film,Polyethylene Bags,2.95,9, Compostable Cornstarch Bags,2.91,2
Packaging Box,Polybutylene Terephthalate,8.91,8,Biodegradable PBT,8.9,3
Automotive Component,Mirex,2.54,10,Organic Pest Control,2.59,2
Packaging Box,DDT (Historical),2.1,10,Natural Pesticides,2.13,2
Clothing Apparel,Natural Fiber,5.58,7, Biodegradable Fiber,5.73,2
Disposable Cutlery,Thermoplastic Polyolefin (TPO),1.05,8, Biodegradable TPO,1.04,3
Handbag,Mushroom Leather,6.58,8,Mycelium Leather,6.51,3
Electronic Housing,Mercury Switches,4.83,10,Electronic Switches,4.81,3
Automotive Component,Polyacrylate,1.68,8,Biodegradable Polyacrylate,1.64,3
Pen,Plastic Beads,4.8,8,Glass or Wooden Beads,4.76,3
Bulletproof Glass,Polycarbonate Sheet,2.89,9,Recycled Glass,2.91,3
Automotive Component,Algae Oil,9.29,8,Plant-based Oil,9.14,3
Toy,Thermoplastic Vulcanizates,2.97,8,Biodegradable Thermoplastic,3.04,3
Sponge,Cellulose Propionate,5.07,7,Bio-based Cellulose,5.06,2
Packaging Box,Silicone,9.18,9,Plant-based Silicone,9.23,4
General Appliance Part,Isocyanates,0.26,10,Natural Polyols or Bio-based Polyurethanes,0.26,4
Soda Bottle,PET,4.76,8,PLA Bioplastic,4.73,3
Disposable Cutlery,Plastic Bottles,0.41,9,Glass or Metal Bottles,0.41,2
Packaging Box,Polypropylene Glycol (PPG),2.72,8, Biodegradable PPG,2.73,3
General Appliance Part,Mirex,8.57,10,Organic Pest Control,8.69,2
Eyeglass Frame,Bacterial Cellulose,6.63,6,Microbial Cellulose Films,6.68,2
Electronic Housing,Shellac,8.46,7,Plant-based Resin,8.44,2
Automotive Component,Bagasse Composites,3.36,5,Sugarcane Waste Materials,3.41,2
Automotive Component,Spider Silk Protein,4.2,8,Recombinant Protein Fibers,4.08,3
Adhesive,Formaldehyde Resins,6.98,8,Natural Adhesives,7.18,2
General Appliance Part,Methylene Chloride,7.45,9,Water-based Strippers,7.51,3
Electronic Housing,PCB Capacitors,6.0,10,Bio-based Capacitors,6.08,4
General Appliance Part,Laminated Wood,5.01,8,Recycled Wood,5.12,3
Packaging Box,Bisphenol A,2.34,9,Tritan Plastic,2.3,4
General Appliance Part,Hempcrete,4.31,7,Bamboo-based Insulation,4.19,3
General Appliance Part,Palm Leaves,3.1,8,Bamboo Leaves,3.12,3
Pen,Plastic Cutlery,6.17,9,Bamboo Cutlery,6.12,2
General Appliance Part,Radioactive Materials,5.79,10,Non-radioactive Alternatives,5.86,4
Bag,Nettle Fiber,2.84,5,Wild Plant Fiber,2.76,2
Water Pipe,PVC Flooring,8.15,8,Cork Flooring,8.0,2
Shampoo Bottle,Recycled Polyethylene,0.35,8,Recycled Polyethylene or Biodegradable Polyethylene,0.35,3
Disposable Cup,Polystyrene (Plastic),7.05,9,Bamboo or Compostable PLA,7.05,3
Rubber Band,Recycled Tyre Rubber,3.56,9,Recycled Rubber,3.56,3
Electronic Housing,Soybean Oil,6.05,8,Bio-based Oil,5.94,3
Storage Container,Plastic Straws,6.86,9,Bamboo or Metal Straws,6.68,2
Water Bottle,Milk Protein Plastics,4.58,8,Plant-based Plastics,4.45,3
Automotive Component,Recycled Stone,4.75,8, Recycled Stone,4.83,3
Electronic Housing,Flax,8.57,7,Organic Cotton,8.61,3
Electronic Housing,Bagasse Composites,0.19,5,Sugarcane Waste Materials,0.19,2
Upholstery,Hemp Fiber,9.62,8,Jute Fiber,9.81,3
Packaging Box,Laminated Wood,6.35,8,Recycled Wood,6.47,3
Packaging Box,Methyl Bromide,4.98,10,Steam Treatment,4.85,2
Storage Container,Recycled Plastic,4.16,9, Plant-based Plastic,4.12,3
Packaging Box,Mercury Thermometers,0.93,10,Digital or Gallium-based,0.93,2
General Appliance Part,Recycled Steel,8.3,8,Recycled Steel,8.37,2
General Appliance Part,Plant-based Paint,1.98,7,Water-based Paint,1.96,2
Automotive Component,Acrylic,5.25,8,Bamboo or Glass,5.21,3
Electronic Housing,Linseed Oil,6.18,7,Water-based Linseed Oil,6.29,3
Pen,Milk Protein Plastics,0.23,8,Plant-based Plastics,0.24,3
Upholstery,Lotus Fiber,8.9,6,Aquatic Plant Fiber,9.01,2
Tool Handle,Cellulose Propionate,5.69,7,Bio-based Cellulose,5.74,2
Luggage,Bio-based Polycarbonate,5.79,8,Recycled Polycarbonate,5.74,3
Water Bottle,Polyethylene (Plastic),6.88,9,Jute or Cotton,7.06,2
Electronic Housing,Olive Pit Composites,9.13,6,Fruit Waste Composites,9.3,2
Automotive Component,Vinyl Chloride Monomer,7.81,9,Bio-based Monomers,7.86,3
General Appliance Part,Creosote,5.3,9,Natural Wood Preservatives,5.15,3
Soda Bottle,PETG,1.78,7,PLA-based materials,1.8,3
Automotive Component,Acrylic Paint,6.83,7,Natural Pigments or Water-based Paints,6.9,2
Automotive Component,Vinyl Acetate,0.35,8,Natural Acetylation,0.35,3
Automotive Component,Recycled Paper Straws,4.91,8,Compostable Paper Straws,4.86,3
Credit Card,PVC Flooring,1.66,8,Cork Flooring,1.62,2
Car Seat,Polyurethane (PU),8.51,8, Biodegradable PU,8.26,3
Automotive Component,Recycled Cardboard,7.35,7,Recycled Paperboard,7.26,3
Belt,Leather,8.44,9, Plant-based Leather,8.33,3
Electronic Housing,Olive Pit Composites,6.49,6,Fruit Waste Composites,6.34,2
Packaging Box,Antimony Compounds,5.24,9,Natural Flame Retardants,5.11,3
Electronic Housing,Sisal,5.32,8,Hemp or Bamboo Fiber,5.43,3
General Appliance Part,Tritan,0.69,9,Plant-based Tritan,0.69,3
Automotive Component,Methylene Chloride,3.73,9,Water-based Strippers,3.68,3
Packaging Box,Polymethyl Methacrylate (PMMA),8.57,9, Recycled PMMA,8.63,3
Curtains,Non-Woven Polyester,6.58,8,Biodegradable Bamboo Fiber,6.66,2
Electronic Housing,Cork Packaging,8.89,8, Bamboo Packaging,8.75,3
Packaging Box,Natural Stone,9.49,7, Recycled Stone,9.6,3
Soda Bottle,PET Bottles,1.82,9,Biodegradable Water Bottles,1.78,3
Electronic Housing,Synthetic Rugs,9.5,8,Jute or Wool Rugs,9.25,3
Electronic Housing,Fluoropolymers,6.41,10,Silicon-based Polymers,6.58,4
Electronic Housing,Heptachlor,7.49,10,Plant-based Pesticides,7.42,2
Umbrella,Nylon Rope,0.35,7,Jute or Hemp Rope,0.34,2
Automotive Component,Compostable Utensils,8.51,8,Bamboo or Palm Leaf Utensils,8.34,3
Packaging Box,Polyhydroxyalkanoates,8.81,8,Biodegradable Polyhydroxyalkanoates,8.55,3
Electronic Housing,Glass Containers,0.52,8,Recycled Glass,0.53,3
Phone Case,Thermoplastic Vulcanizates,0.32,8, Biodegradable Thermoplastic,0.31,3
General Appliance Part,Triclosan,9.02,10,Essential Oil-based Antimicrobials,8.76,3
Electronic Housing,Paper Packaging,6.74,8, Biodegradable Paper Packaging,6.86,3
Packaging Box,Palm Oil,4.24,8,Certified Sustainable Palm Oil,4.34,3
Insulation Panel,Thermoplastic Polyurethane,7.37,8,Biodegradable TPU,7.34,3
Electronic Housing,Asbestos Cement,1.92,10,Fiber-reinforced Cement,1.94,3
Packaging Box,Compostable Paper,6.59,7,Bamboo Paper,6.49,2
Electronic Housing,Flax,1.46,7,Organic Cotton,1.43,3
Storage Container,Recycled Plastic,2.76,9, Plant-based Plastic,2.76,3
Shampoo Bottle,Chlorosulfonated Polyethylene,6.75,9,Bio-based Elastomers,6.56,3
Automotive Component,Polyisoprene,7.33,8, Natural Rubber,7.52,3
Packaging Box,FSC-Certified Wood,8.44,8, Sustainable Wood,8.37,3
Electronic Housing,Hemp Paper,6.23,8, Recycled Paper,6.35,3
Electronic Housing,Coconut Shell,8.41,8,Compostable Shell,8.5,3
General Appliance Part,Flax,4.31,7,Organic Cotton,4.24,3
Bulletproof Glass,Polycarbonate Sheet,0.15,9,Recycled Glass,0.15,3
Handbag,Grape Leather,3.53,6,Wine Industry Byproduct Leather,3.46,2
Shampoo Bottle,Polyethylene (Plastic),0.7,9,Jute or Cotton,0.7,2
General Appliance Part,Epichlorohydrin,9.0,9,Bio-based Epoxy,8.78,3
General Appliance Part,Compostable Utensils,5.24,8,Bamboo or Palm Leaf Utensils,5.2,3
Electronic Housing,Recycled Paper Bags,9.72,7, Compostable Paper Bags,9.9,3
Automotive Component,Linseed Oil,0.16,7, Water-based Linseed Oil,0.16,3
General Appliance Part,Conventional Fertilizers,9.75,9,Organic Fertilizers,9.91,3
Tool Handle,Carboxymethyl Cellulose,9.9,7,Natural Modifiers,9.78,2
Packaging Box,Polytetrafluoroethylene,0.1,10,Ceramic Coating,0.1,4
Tote Bag,Cotton,4.91,7,Organic Cotton,5.04,2
Automotive Component,Polymethyl Methacrylate (PMMA),5.53,9, Recycled PMMA,5.44,3
Soda Bottle,PET Film,6.71,7,Cellulose-based Film,6.79,3
Packaging Box,Polyvinyl Alcohol,2.22,8,Biodegradable PVA,2.23,3
Packaging Box,Mica,6.06,8,Recycled Glass,5.88,3
Pen,Corn Plastic,0.28,7, Compostable Corn Plastic,0.28,2
General Appliance Part,Banana Leaf,8.06,8,Compostable Leaf,8.03,3
Automotive Component,Tencel,7.27,8,Hemp or Organic Cotton,7.12,3
Automotive Component,Polybutylene,8.26,8,Bio-based Polyolefins,8.11,3
General Appliance Part,Recycled Textiles,3.44,8, Organic Textiles,3.44,3
Upholstery,Natural Fiber,8.28,7, Biodegradable Fiber,8.34,2
Water Bottle,PET Bottles,0.57,9,Biodegradable Water Bottles,0.58,3
General Appliance Part,Recycled Aluminum Foil,6.81,8,Reusable Beeswax Wrap,6.95,2
Adhesive,Sulfuric Acid,9.19,9,Citric Acid for Light Cleaning,9.45,2
Packaging Box,Sunflower Oil,9.74,8, Plant-based Oil,9.89,3
Jacket,Polyester Fabric,5.42,7,Tencel or Modal,5.52,2
General Appliance Part,Recycled Paper,0.35,7,Recycled Paper or Plant-based Paper,0.34,2
Blister Packaging,PETG Bottles,5.44,8,PLA or Glass Bottles,5.36,3
Packaging Box,PCB Capacitors,4.37,10,Bio-based Capacitors,4.28,4
Electronic Housing,Teak Wood,0.74,9,Bamboo Composites,0.76,3
Packaging Box,Recycled Granite,5.18,8,Recycled Granite or Recycled Glass,5.26,3
Phone Case,Plastic Shopping Bags,3.73,9,Jute or Reusable Cloth Bags,3.63,2
Electronic Housing,Polyvinyl Acetate Emulsion,5.79,8,Starch-based Adhesive,5.66,3
Sponge,Carboxymethyl Cellulose,2.1,7,Natural Modifiers,2.07,2
Automotive Component,Fluoropolymers,7.85,10,Silicon-based Polymers,7.8,4
Electronic Housing,Hemp Paper,8.58,8,Recycled Paper,8.57,3
General Appliance Part,Paper Packaging,1.67,8, Biodegradable Paper Packaging,1.7,3
Packaging Box,Wool,9.22,7,Cotton or Hemp,9.43,3
Automotive Component,Epoxidized Soybean Oil (ESBO),7.96,8, Bio-based Epoxidized Soybean Oil,8.08,3
Stockings,Nylon,8.57,7,Organic Cotton or Recycled Nylon,8.58,3
Eraser,Natural Rubber,6.82,8,Plant-based Rubber,6.63,3
Crayon,Synthetic Wax,6.0,8,Beeswax or Soy Wax,5.87,3
Upholstery,Polypropylene Fabric,4.18,8,Hemp or Bamboo Fabric,4.28,3
General Appliance Part,Seaweed,1.08,8,Bio-based Seaweed Packaging,1.06,3
General Appliance Part,Palm Oil,4.77,8,Certified Sustainable Palm Oil,4.82,3
Jacket,Recycled Polyester,3.9,8,Recycled Polyester or Organic Cotton,3.92,3
General Appliance Part,Polyimide,0.71,8,Biodegradable Polyimide,0.72,3
Curtains,Polyester Carpet,8.89,8,Wool or Sisal Carpet,8.87,3
Electronic Housing,Polyolefin Elastomer (POE),8.07,8, Biodegradable POE,8.14,3
Automotive Component,Alkylphenols,1.7,9,Natural Surfactants,1.73,3
Electronic Housing,DDT (Historical),8.16,10,Natural Pesticides,8.2,2
Curtains,Polyester Clothing,6.9,8,Organic Cotton or Hemp Fabric,6.83,2
Luggage,Polycarbonate Panels,3.41,9,Recycled Polycarbonate,3.39,3
Shampoo Bottle,Polyethylene Glycol (PEG),7.04,8, Bio-based PEG,7.18,3
Electronic Housing,Polyimide,4.59,8,Biodegradable Polyimide,4.51,3
Automotive Component,Jute,8.16,8,Bamboo Fiber,8.06,3
Packaging Box,Isocyanates,2.61,10,Natural Polyols or Bio-based Polyurethanes,2.64,4
Packaging Box,Cling Film,2.03,9,Biodegradable Cling Wrap,2.09,2
Electronic Housing,Palm Leaves,8.13,8,Bamboo Leaves,8.05,3
Electronic Housing,Acrylonitrile,4.22,9,Bio-based Nitriles,4.28,3
Electronic Housing,Polysulfone,2.51,8,Bio-based PSU or Recycled Polysulfone,2.51,3
Shoe Sole,Recycled Rubber,7.9,9, Recycled Rubber,7.89,3
General Appliance Part,Hemp Paper,7.98,8, Recycled Paper,8.08,3
General Appliance Part,Recycled PLA,2.41,8,Recycled PLA or Bamboo Fiber,2.39,3
Electronic Housing,Recycled PLA,9.16,8,Recycled PLA or Bamboo Fiber,9.08,3
General Appliance Part,Microfiber,7.84,8,Hemp or Bamboo Fibers,7.63,3
Packaging Box,Recycled Granite,2.19,8, Recycled Granite or Recycled Glass,2.2,3
Packaging Box,Treated Wood,8.74,8,Recycled Wood,8.56,3
Electronic Housing,Ammonia,6.73,8,Vinegar or Baking Soda Solutions,6.77,2
Automotive Component,Halon Fire Suppressants,8.18,9,Water Mist Systems,8.36,3
Disposable Cutlery,Casein Plastics,8.9,7,Plant Protein Plastics,8.65,2
Insulation Panel,Polyurethane Varnish,0.68,8,Natural Oil Varnish,0.67,3
General Appliance Part,Compostable PLA,0.21,7,Plant-based PLA,0.22,2
General Appliance Part,Glass Containers,4.77,8, Recycled Glass,4.88,3
Packaging Box,Benzene,6.96,10,Natural Solvents,6.91,3
Packaging Box,Recycled Steel,5.76,8, Recycled Steel or Aluminum,5.93,3
Automotive Component,Hexamethylenediamine,0.86,8,Bio-based Diamines,0.85,3
Packaging Box,Compostable PLA,0.17,7,Plant-based PLA,0.17,2
Packaging Box,Soybean Oil,6.7,8, Bio-based Oil,6.72,3
General Appliance Part,Rosewood,5.72,9,Sustainable Plantation Wood,5.87,3
General Appliance Part,Neoprene,6.24,8,Natural Rubber,6.08,3
Eraser,Nitrile Rubber,9.63,8, Natural Rubber,9.84,3
